dbn,beds
10X046,321000010046
31R069,353100010069
05M154,310500010154
01M509,310100011509
20K176,332000010176
01M361,310100010361
84M481,310500860989
22K890,332200010890
08X448,320800010448
84K333,331700861027
27Q210,342700010210
29Q265,342900011265
75R505,
15K058,331500010058
14K685,331400011685
29Q248,342900011248
14K449,331400011449
84K710,332300860939
29Q243,342900011243
23K284,332300010284
84Q380,342400861113
27Q064,342700010064
02M543,310200011543
21K216,332100010216
31R007,353100010007
03M334,310300010334
07X179,320700010179
30Q092,343000010092
09X454,320900010454
25Q670,342500011670
07X025,320700010025
20K490,332000011490
10X535,
06M028,310600010028
22K109,332200010109
22K193,332200010193
02M289,310200010289
02M449,310200011449
24Q125,342400010125
04M146,310400010146
30Q445,343000011445
22K222,332200010222
24Q520,342400011520
27Q043,342700010043
14K582,331400010582
22K206,332200010206
05M670,310500011670
17K138,331700010138
03M299,310300011299
84M358,310200861087
31R036,353100010036
15K261,331500010261
21K337,332100011337
84Q373,342700861052
75M501,307500010000
27Q282,342700010282
08X337,320800010337
84K807,331900861065
26Q158,342600010158
20K609,332000011609
20K104,332000010104
08X269,320800011269
25Q201,342500010201
75M401,307500011401
07X018,320700010018
17K539,331700011539
07X359,320700010359
29Q136,342900010136
24Q143,342400010143
84X394,320700860925
07X223,320700010223
07X379,320700011379
18K276,331800010276
09X294,320900010294
19K510,331900011510
23K668,332300010668
21K098,332100010098
04M083,310400010083
13K008,331300010008
79X966,
28Q312,342800010312
84K733,333200861059
03M402,310300011402
21K410,332100011410
20K920,
25Q021,342500010021
32K045,333200010045
02M225,310200011225
29Q195,342900010195
84K790,332200861050
18K635,331800011635
17K122,331700011122
03M163,310300010163
17K382,331700011382
28Q287,342800010287
19K328,331900010328
08X558,320800011558
17K246,331700010246
10X331,321000010331
02M139,310200011139
09X053,320900010053
08X130,320800010130
84X598,321000861135
31R063,353100010063
30Q002,343000010002
28Q358,342800010358
25Q032,342500010032
09X525,320900011525
17K745,331700011745
32K554,333200011554
22K853,
06M187,310600010187
04M435,310400011435
10X007,321000010007
14K478,331400011478
79M992,
23K522,332300010522
08X312,320800010312
05M046,310500010046
04M012,310400010012
02M565,310200011565
21K128,332100010128
06M152,310600010152
19K422,331900011422
10X442,321000011442
84K930,331500861158
84K129,331500861023
06M132,310600010132
02M534,310200011534
84R076,353100861144
21K253,332100010253
27Q333,342700010333
01M378,310100010378
04M171,310400010171
18K114,331800010114
84M430,310600860929
18K763,331800010763
02M933,310200010933
06M328,310600010328
79K991,
15K088,331500010088
21K288,332100010288
84M279,310300860871
31R600,353100011600
26Q178,342600010178
29Q037,342900010037
27Q317,342700010317
24Q110,342400010110
03M180,310300010180
27Q060,342700010060
75X012,307500012012
09X311,320900010311
06M462,310600011462
09X170,320900010170
24Q088,342400010088
30Q171,343000010171
31R049,353100010049
02M282,310200011282
17K189,331700010189
22K234,332200010234
30Q361,343000010361
09X058,320900010058
22K134,332200010134
15K443,331500010443
30Q076,343000010076
26Q213,342600010213
84X492,320800861068
84K929,331900861132
29Q272,342900011272
11X556,321100010556
27Q056,342700010056
02M305,310200011305
79K992,
27Q351,342700011351
25Q129,342500010129
27Q475,342700011475
19K158,331900010158
84M320,310100860873
11X076,321100010076
84X362,320800861030
17K568,331700011568
11X194,321100010194
08X367,320800011367
09X582,
27Q105,342700010105
24Q550,342400011550
02M459,310200011459
02M630,310200011630
05M194,310500010194
28Q196,342800010196
75Q993,307500014993
28Q220,342800010220
19K345,331900010345
10X141,321000011141
09X274,320900010274
75Q009,307500014009
04M495,310400011495
12X463,321200010463
18K673,331800011673
26Q162,342600010162
29Q360,342900010360
13K266,331300010266
02M151,310200010151
32K562,333200010562
29Q132,342900010132
23K392,332300010392
20K163,332000010163
27Q273,342700010273
03M075,310300010075
84K739,332200861051
29Q147,342900010147
09X126,320900010126
32K376,333200010376
09X199,320900010199
13K270,331300010270
75K004,307500013004
79X995,
08X036,320800010036
75Q504,
09X227,320900011227
23K323,332300010323
02M972,
27Q260,342700011260
23K643,332300011643
22K630,332200011630
17K289,331700010289
20K102,332000010102
